id,intent_status,intent_suggested,intent_reason,task_status,task_suggested,task_reason,entity_status,entity_reason,utter_quality,utter_issues,utter_rewrite,suitability,severity,overall_reason
v4_0,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,MISSING_ENTITIES,The token 'today' is a DATE entity but is incorrectly tagged as 'O'.,MEDIUM,Contains filler word 'stuff'.,spent 6143.25 quid on gold redemption interest today,MODIFY,MEDIUM,Missing DATE entity for 'today' and contains a filler word 'stuff'.
v4_1,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'primark oxford st apparel buy' is incorrectly tagged as a single MERCHANT. 'Primark Oxford St' is likely the MERCHANT, and 'apparel buy' is the CATEGORY. This requires splitting the entity and re-tagging.",MEDIUM,Contains filler word 'stuff'.,log 7.5k for Primark Oxford St apparel buy,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY. Contains a filler word 'stuff'.
v4_2,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The amount '£2414' is tagged as 'B-AMOUNT' for the entire token. The currency symbol '£' should be tagged as 'I-AMOUNT' if it's part of the amount token, or 'B-CURRENCY' if it's a separate token. Given it's a single token, it should be 'B-AMOUNT' for '£2414' or split into '£' (B-CURRENCY) and '2414' (B-AMOUNT). Current tagging is ambiguous/inconsistent with common practices.",MEDIUM,Contains an unnecessary word 'kharcha' (expense in Hindi).,sublet home rent £2414,MODIFY,MEDIUM,Incorrect entity boundary for the amount/currency. Contains an unnecessary word 'kharcha'.
v4_3,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'splash landmark group apparel' is incorrectly tagged as a single MERCHANT. 'Splash Landmark Group' is likely the MERCHANT, and 'apparel' is the CATEGORY. This requires splitting the entity and re-tagging.",HIGH,,,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_4,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,MEDIUM,"The word 'budget' might imply a different intent (e.g., SET_BUDGET) or is extraneous for a simple expense log.",add 536 to mall basement parking ticket,MODIFY,LOW,The word 'budget' introduces slight ambiguity for an 'ADD_EXPENSE' intent.
v4_5,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The entity 'rta nol card top up' is incorrectly tagged as a single MERCHANT. 'RTA Nol Card' is likely the MERCHANT, and 'top up' is the CATEGORY. This requires splitting the entity and re-tagging.",HIGH,,,MODIFY,HIGH,Incorrect entity boundaries and tag types for MERCHANT and CATEGORY.
v4_6,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_BOUNDARIES,"The amount '$8879722' is tagged as 'B-AMOUNT' for the entire token. The currency symbol '$' should be tagged as 'I-AMOUNT' if it's part of the amount token, or 'B-CURRENCY' if it's a separate token. Given it's a single token, it should be 'B-AMOUNT' for '$8879722' or split into '$' (B-CURRENCY) and '8879722' (B-AMOUNT). The category 'equity smallcap sip broker auto pay' is very long and 'broker auto pay' might be better classified as a PAYMENTMETHOD or a separate CATEGORY.",MEDIUM,Contains filler word 'yaar'.,put $8879722 under equity smallcap sip broker auto pay,MODIFY,MEDIUM,Incorrect entity boundary for the amount/currency. The category is very long and potentially ambiguous. Contains a filler word 'yaar'.
v4_7,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,PERFECT,All entities are correctly identified and tagged.,MEDIUM,Contains filler word 'lol'.,just blew 1659 on ev charging station payment,MODIFY,LOW,Contains a filler word 'lol'.
v4_8,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,The token 'zomato' is a MERCHANT but is incorrectly tagged as 'B-CATEGORY'. 'online delivery' could be a CATEGORY.,HIGH,,,MODIFY,HIGH,"Incorrect tag type for 'zomato' (should be MERCHANT, not CATEGORY)."
v4_9,KEEP,,Intent 'ADD_EXPENSE' is appropriate for logging a spending event.,KEEP,,Task type 'LOG' is consistent with the 'ADD_EXPENSE' intent.,WRONG_TAGS,"The token '₹7430.37' is tagged as 'B-AMOUNT', which is acceptable as a single token. However, 'npr' is tagged as 'B-CURRENCY'. If '₹' is already part of the amount, 'npr' is redundant or should be 'I-AMOUNT' if it's clarifying the currency for the amount. This is inconsistent with standard BIO tagging where a currency symbol immediately following an amount is typically 'I-AMOUNT'.",HIGH,,,MODIFY,HIGH,Inconsistent and potentially incorrect tagging for currency ('npr') when a currency symbol ('₹') is already part of the amount token.
